客户,租约编号,表编号,表类型,建筑面积,单价,上次读数,本次读数,数量,金额（元）,帐单开始时间,帐单结束时间,付款公司
辉瑞投资有限公司,TJMT00028,NSE228749,ELECTRICITY_CHG,1086.36,1.1544,22485.8,22980.1,494.3,570.62,2/1/2019,2/28/2019,5252
花旗银行（中国）有限公司天津分公司,TJMT00038,NSE228495,ELECTRICITY_CHG,1467.21,1.1544,57086.9,59284.7,2197.8,2537.14,2/1/2019,2/28/2019,5252
花旗银行（中国）有限公司天津分公司,TJMT00038,NSE228453,ELECTRICITY_CHG,1467.21,1.1544,24634.7,24853.7,219,252.81,2/1/2019,2/28/2019,5252
花旗银行（中国）有限公司天津分公司,TJMT00038,NSE228681,ELECTRICITY_CHG,1467.21,1.1544,6934.41,6934.41,0,0,2/1/2019,2/28/2019,5252
花旗银行（中国）有限公司天津分公司,TJMT00038,NSE228682,ELECTRICITY_CHG,1467.21,1.1544,43820.4,45448.1,1627.7,1879.02,2/1/2019,2/28/2019,5252
花旗银行（中国）有限公司天津分公司,TJMT00038,NSE228683,ELECTRICITY_CHG,1467.21,1.1544,102140,104966,2826,3262.33,2/1/2019,2/28/2019,5252
上海德勤税务师事务所有限公司天津分所,TJMT00091,NSE228787,ELECTRICITY_CHG,1047.96,1.1544,8442.06,8761.05,318.99,368.24,2/1/2019,2/28/2019,5252
德勤华永会计师事务所（特殊普通合伙）天津分所,TJMT00095,NSE228788,ELECTRICITY_CHG,1176.08,1.1544,18074.1,18670.64,596.54,688.65,2/1/2019,2/28/2019,5252
德勤华永会计师事务所（特殊普通合伙）天津分所,TJMT00095,NSE228620,ELECTRICITY_CHG,1176.08,1.1544,63330,65031.58,1701.58,1964.3,2/1/2019,2/28/2019,5252
德勤华永会计师事务所（特殊普通合伙）天津分所,TJMT00095,NSE228808,ELECTRICITY_CHG,1176.08,1.1544,37675.9,39091.01,1415.11,1633.6,2/1/2019,2/28/2019,5252
上海德勤税务师事务所有限公司天津分所,TJMT00091,NSE228785,ELECTRICITY_CHG,1047.96,1.1544,75784.2,78133.53,2349.33,2712.07,2/1/2019,2/28/2019,5252
上海德勤税务师事务所有限公司天津分所,TJMT00091,NSE228792,ELECTRICITY_CHG,1047.96,1.1544,18598.1,19268.1,670,773.45,2/1/2019,2/28/2019,5252
德勤企业咨询（上海）有限公司天津分公司,TJMT00056,NSE228622,ELECTRICITY_CHG,218.72,1.1544,16189.6,16646.18,456.58,527.08,2/1/2019,2/28/2019,5252
上海基曼贸易有限公司 ,TJMT00054,NSE228604,ELECTRICITY_CHG,147.19,1.1544,6128.72,6282.11,153.39,177.07,2/1/2019,2/28/2019,5252
浙江新通留学有限公司天津分公司,TJMT00053,NSE228637,ELECTRICITY_CHG,2442.76,1.1544,22661.6,23994.9,1333.3,1539.16,2/1/2019,2/28/2019,5252
浙江新通留学有限公司天津分公司,TJMT00053,NSE228627,ELECTRICITY_CHG,2442.76,1.1544,8941.93,9284.67,342.74,395.66,2/1/2019,2/28/2019,5252
浙江新通留学有限公司天津分公司,TJMT00053,NSE228457,ELECTRICITY_CHG,2442.76,1.1544,52353.6,54738.1,2384.5,2752.67,2/1/2019,2/28/2019,5252
浙江新通留学有限公司天津分公司,TJMT00053,NSE228456,ELECTRICITY_CHG,2442.76,1.1544,506.58,518.33,11.75,13.56,2/1/2019,2/28/2019,5252
浙江新通留学有限公司天津分公司,TJMT00053,NSE228626,ELECTRICITY_CHG,2442.76,1.1544,34520.8,35726.1,1205.3,1391.4,2/1/2019,2/28/2019,5252
浙江新通留学有限公司天津分公司,TJMT00053,NSE228629,ELECTRICITY_CHG,2442.76,1.1544,45090.3,46596.1,1505.8,1738.3,2/1/2019,2/28/2019,5252
浙江新通留学有限公司天津分公司,TJMT00053,NSE228625,ELECTRICITY_CHG,2442.76,1.1544,27590.8,28981.4,1390.6,1605.31,2/1/2019,2/28/2019,5252
天津津旅商务信息技术股份有限公司,TJMT00058,NSE228673,ELECTRICITY_CHG,931.41,1.1544,34969,36150.2,1181.2,1363.58,2/1/2019,2/28/2019,5252
天津津旅商务信息技术股份有限公司,TJMT00058,NSE228431,ELECTRICITY_CHG,931.41,1.1544,10900.5,11316.9,416.4,480.69,2/1/2019,2/28/2019,5252
天津津旅商务信息技术股份有限公司,TJMT00058,NSE228663,ELECTRICITY_CHG,931.41,1.1544,63134.7,65328.8,2194.1,2532.87,2/1/2019,2/28/2019,5252
天津团泊湖裕泰置业有限公司,TJMT00114,NSE228424,ELECTRICITY_CHG,302.71,1.1544,1.1,1.1,0,0,2/1/2019,2/28/2019,5252
天津团泊湖裕泰置业有限公司,TJMT00114,NSE228632,ELECTRICITY_CHG,302.71,1.1544,32553.02,33640.79,1087.77,1255.72,2/1/2019,2/28/2019,5252
天津市鑫品汇商贸有限公司,TJMT00062,NSE228676,ELECTRICITY_CHG,397.47,1.1544,19925.1,20762.7,837.6,966.93,2/1/2019,2/28/2019,5252
北京科锐国际人力资源股份有限公司,TJMT00064,NSE228564,ELECTRICITY_CHG,225.55,1.1544,9309.54,9712.97,403.43,465.72,2/1/2019,2/28/2019,5252
恩斯克投资有限公司,TJMT00065,NSE228695,ELECTRICITY_CHG,218.72,1.1544,13207,13756.8,549.8,634.69,2/1/2019,2/28/2019,5252
天津市美通达商务信息咨询有限公司,TJMT00063,NSE228699,ELECTRICITY_CHG,225.55,1.1544,11485.7,11883.5,397.8,459.22,2/1/2019,2/28/2019,5252
天津市圣安米悦心理咨询有限公司,TJMT00071,NSE228529,ELECTRICITY_CHG,150.89,1.1544,15006,15346,340,392.5,2/1/2019,2/28/2019,5252
安永（中国）企业咨询有限公司天津分公司,TJMT00070,NSE228736,ELECTRICITY_CHG,397.75,1.1544,9149.83,9700.46,550.63,635.65,2/1/2019,2/28/2019,5252
安永华明会计师事务所（特殊普通合伙）天津分所,TJMT00069,NSE228735,ELECTRICITY_CHG,1069.46,1.1544,55271,57644.4,2373.4,2739.85,2/1/2019,2/28/2019,5252
安永华明会计师事务所（特殊普通合伙）天津分所,TJMT00069,NSE228498,ELECTRICITY_CHG,1069.46,1.1544,25240,26457.2,1217.2,1405.14,2/1/2019,2/28/2019,5252
安永华明会计师事务所（特殊普通合伙）天津分所,TJMT00069,NSE228497,ELECTRICITY_CHG,1069.46,1.1544,8583.01,8969.53,386.52,446.2,2/1/2019,2/28/2019,5252
安永华明会计师事务所（特殊普通合伙）天津分所,TJMT00069,NSE228640,ELECTRICITY_CHG,1069.46,1.1544,40465.2,41734,1268.8,1464.7,2/1/2019,2/28/2019,5252
长丰记（天津）文化传播发展有限公司,TJMT00076,NSE228675,ELECTRICITY_CHG,374.37,1.1544,42191.5,43047.6,856.1,988.28,2/1/2019,2/28/2019,5252
日东(中国)新材料有限公司,TJMT00078,NSE228737,ELECTRICITY_CHG,535.83,1.1544,16152.9,16994.5,841.6,971.54,2/1/2019,2/28/2019,5252
日东(中国)新材料有限公司,TJMT00078,NSE228494,ELECTRICITY_CHG,535.83,1.1544,29466.2,29983.3,517.1,596.94,2/1/2019,2/28/2019,5252
四川易贷网金融信息服务有限公司,TJMT00077,NSE228628,ELECTRICITY_CHG,781.05,1.1544,30135.9,31769.1,1633.2,1885.37,2/1/2019,2/28/2019,5252
四川易贷网金融信息服务有限公司,TJMT00077,NSE228751,ELECTRICITY_CHG,781.05,1.1544,12415.5,12866.7,451.2,520.87,2/1/2019,2/28/2019,5252
星展银行（中国）有限公司天津分行,TJMT00074,NSE228805,ELECTRICITY_CHG,781.05,1.1544,41262.6,43972.4,2709.8,3128.19,2/1/2019,2/28/2019,5252
星展银行（中国）有限公司天津分行,TJMT00074,NSE228804,ELECTRICITY_CHG,781.05,1.1544,40041.9,41978.6,1936.7,2235.73,2/1/2019,2/28/2019,5252
天津创源昌企业管理咨询服务有限公司,TJMT00079,NSE228496,ELECTRICITY_CHG,151.53,1.1544,11028.2,11043.8,15.6,18.01,2/1/2019,2/28/2019,5252
亦思创艺教育咨询（天津）有限公司,TJMT00080,NSE228642,ELECTRICITY_CHG,392.04,1.1544,2542.9,2669.54,126.64,146.19,2/1/2019,2/28/2019,5252
平安国际融资租赁有限公司,TJMT00082,NSE228720,ELECTRICITY_CHG,163.12,1.1544,10281.6,11102.8,821.2,947.99,2/1/2019,2/28/2019,5252
天津天兴投资发展有限公司,TJMT00083,NSE228779,ELECTRICITY_CHG,1599.83,1.1544,4736.01,5025.12,289.11,333.75,2/1/2019,2/28/2019,5252
天津天兴投资发展有限公司,TJMT00083,NSE228783,ELECTRICITY_CHG,1599.83,1.1544,20009.7,20951.9,942.2,1087.68,2/1/2019,2/28/2019,5252
天津天兴投资发展有限公司,TJMT00083,NSE228770,ELECTRICITY_CHG,1599.83,1.1544,247.5,247.5,0,0,2/1/2019,2/28/2019,5252
天津天兴投资发展有限公司,TJMT00083,NSE228752,ELECTRICITY_CHG,1599.83,1.1544,0,0,0,0,2/1/2019,2/28/2019,5252
天津天兴投资发展有限公司,TJMT00083,NSE228780,ELECTRICITY_CHG,1599.83,1.1544,25299.2,26945.4,1646.2,1900.37,2/1/2019,2/28/2019,5252
天津航丰国际货运代理有限公司,TJMT00081,NSE228530,ELECTRICITY_CHG,144.21,1.1544,6940.52,7509.22,568.7,656.51,2/1/2019,2/28/2019,5252
深圳前海量度科技服务有限公司,TJMT00084,NSE228479,ELECTRICITY_CHG,145.04,1.1544,11967.9,12246.7,278.8,321.85,2/1/2019,2/28/2019,5252
京瓷（中国）商贸有限公司,TJMT00089,NSE228610,ELECTRICITY_CHG,537.08,1.1544,10754.5,11900.7,1146.2,1323.17,2/1/2019,2/28/2019,5252
京瓷（中国）商贸有限公司,TJMT00089,NSE228509,ELECTRICITY_CHG,537.08,1.1544,20016,20016,0,0,2/1/2019,2/28/2019,5252
天津匠人教育信息咨询有限公司,TJMT00088,NSE228531,ELECTRICITY_CHG,144.44,1.1544,13730,13730.47,0.47,0.54,2/1/2019,2/3/2019,5252
上海天琥教育培训有限公司,TJMT00087,NSE228482,ELECTRICITY_CHG,694.32,1.1544,0,0,0,0,2/1/2019,2/28/2019,5252
上海天琥教育培训有限公司,TJMT00087,NSE228481,ELECTRICITY_CHG,694.32,1.1544,4105.52,4360.59,255.07,294.45,2/1/2019,2/28/2019,5252
上海天琥教育培训有限公司,TJMT00087,NSE228644,ELECTRICITY_CHG,694.32,1.1544,24645.1,24790.8,145.7,168.2,2/1/2019,2/28/2019,5252
财政司司长法团（The Financial Secretary Incorporated）,TJMT00090 ,NSE228458,ELECTRICITY_CHG,218.72,1.1544,13071.9,14154.9,1083,1250.22,2/1/2019,2/28/2019,5252
宇卓（天津）能源装备技术股份有限公司,TJMT00096,NSE228658,ELECTRICITY_CHG,145.2,1.1544,43336.5,43556.3,219.8,253.74,2/1/2019,2/28/2019,5252
中银三星人寿保险有限公司天津分公司,TJMT00086,NSE228656,ELECTRICITY_CHG,2397.36,1.1544,14752.9,15118,365.1,421.47,2/1/2019,2/28/2019,5252
中银三星人寿保险有限公司天津分公司,TJMT00086,NSE228615,ELECTRICITY_CHG,2397.36,1.1544,4944.74,5406.63,461.89,533.21,2/1/2019,2/28/2019,5252
